"project","organization","location","latitude","longitude","buffer_radius_m","date_detected","field_of_view","scientific_name","common_name","species_rank","species_class","age_class","sex","number_individuals","id_by","daily_weather_station_nm","daily_weather_station_elevation","daily_weather_station_distance","daily_min_temp","daily_max_temp","daily_mean_temp","daily_total_rain_mm","daily_total_snow_cm","daily_precipitation_mm","daily_snow_on_ground_cm","hourly_weather_station_nm","hourly_weather_station_elevation","hourly_weather_station_distance","hourly_temp","hourly_dew_point","hourly_rel_humidity","hourly_precipitation_mm","hourly_wind_direction","hourly_wind_speed","hourly_visibility_km","hourly_station_pressure","hourly_humidex","hourly_wind_chill","hourly_weather_attributes","camera_make","camera_model","serial_number","image_comments","tag_comments"
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:33:26","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:33:27","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 10:33:27","WITHIN","STAFF/SETUP","STAFF/SETUP","VNA","NONE","VNA","VNA","2","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:02:57","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:02:58","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:02:58","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:16","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:17","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:18","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:19","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:20","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:21","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:23","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:23","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:24","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:25","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:25","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:26","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:27","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:27","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:29","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-19 15:59:31","END - Last Good Image in FOV","Alces alces","Moose","Species","MAMMALIA","Adult","Unkn","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-47.6,-44.7,-46.2,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:22","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:29","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:32","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:33","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-12-16 13:03:30","WITHIN","Alces alces","Moose","Species","MAMMALIA","Adult","Male","1","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",-41.9,-27.3,-34.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-27 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11,20.1,15.6,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",15.1,11.4,78,NA,27,14,NA,99.44,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-28 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",12.7,19.3,16,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",16.8,11.7,72,NA,27,16,NA,99.65,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-29 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",12.7,18.2,15.5,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",14.6,12.9,89,NA,28,14,NA,100.34,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-30 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",10.4,25.5,18,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",21.6,11,51,NA,18,23,NA,100.47,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-07-31 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",10.4,30.2,20.3,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",25.9,15.4,52,NA,32,6,NA,100.29,30,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-01 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",13.1,29.2,21.2,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",24.2,15.3,57,NA,30,7,NA,99.59,28,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-02 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",14.1,23.9,19,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",16.4,14.5,88,NA,32,7,NA,99.52,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-03 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",12.9,26.9,19.9,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",23.4,14.7,57,NA,28,7,NA,99.31,27,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-04 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",14.5,20.9,17.7,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",18.1,14.2,78,NA,19,7,NA,99.46,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-05 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",13.7,17.7,15.7,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",16.3,14.9,91,NA,7,8,NA,99.71,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-06 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",8.8,20,14.4,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",15.7,11,73,NA,10,16,NA,99.35,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
"Tuyeta Biodiversity Project","NWTBM","TUY-RRP-004-18",66.013213,-129.223652,NA," 2020-08-07 12:00:00","WITHIN","NONE","NONE","VNA","NONE","VNA","VNA","VNA","Laura Nicole Stewart","FORT GOOD HOPE A","81.40m","36km",11.7,17.1,14.4,NA,NA,NA,NA,"FORT GOOD HOPE A","81.40m","36km",13.5,13.4,99,NA,9,5,NA,98.57,NA,NA,NA,"RECONYX","HF2 PRO COVERT","HLPXGM10050239","",""
